,Player,Tm,Pos,G,GS,Solo,Sk,Int,Year
0,Derrick Brooks,TAM,RLB,16,16,123.0,1.0,1.0,2000
1,Ronald McKinnon,ARI,MLB,16,16,119.0,4.0,0.0,2000
2,Anthony Simmons,SEA,LLB,16,16,119.0,4.0,2.0,2000
3,Pat Tillman,ARI,SS,16,16,118.0,1.5,1.0,2000
4,Donnie Edwards,KAN,RLB,16,16,114.0,1.0,2.0,2000
5,Takeo Spikes,CIN,RLB,16,16,109.0,2.0,2.0,2000
6,Ray Lewis,BAL,MLB,16,16,108.0,3.0,2.0,2000
7,London Fletcher,STL,MLB,16,15,106.0,5.5,4.0,2000
8,Mike Peterson,IND,RLB,16,16,103.0,0.0,2.0,2000
9,Junior Seau,SDG,RLB,16,16,103.0,3.5,2.0,2000
10,Marvin Jones,NYJ,RILB,16,16,102.0,1.0,0.0,2000
11,Rodney Harrison,SDG,SS,16,16,101.0,6.0,6.0,2000
12,Greg Biekert,OAK,MLB,16,16,100.0,2.0,0.0,2000
13,Jeremiah Trotter,PHI,MLB,16,16,99.0,3.0,1.0,2000
14,Randall Godfrey,TEN,MLB,16,16,98.0,3.0,2.0,2000
15,Ed McDaniel,MIN,RLB,16,15,98.0,2.0,0.0,2000
16,Brian Urlacher,CHI,MLB,16,14,98.0,8.0,2.0,2000
17,Mike Minter,CAR,SS,16,16,91.0,2.0,2.0,2000
18,Lawyer Milloy,NWE,SS,16,16,90.0,0.0,2.0,2000
19,Marvcus Patton,KAN,MLB,16,15,89.0,1.0,2.0,2000
20,Sam Cowart,BUF,RILB,12,12,88.0,5.5,2.0,2000
21,Earl Holmes,PIT,RILB,16,16,87.0,1.0,0.0,2000
22,Wali Rainer,CLE,MLB,16,16,87.0,1.0,1.0,2000
23,Mike Brown,CHI,FS,16,16,84.0,0.0,1.0,2000
24,Kailee Wong,MIN,MLB,16,16,84.0,2.0,2.0,2000
25,Sam Shade,WAS,SS,16,14,83.0,1.0,2.0,2000
26,Jason Belser,IND,FS,16,16,80.0,5.0,0.0,2000
27,Darryl Williams,CIN,FS,16,16,80.0,0.0,1.0,2000
28,Lester Towns,CAR,MLB,16,14,79.0,0.0,0.0,2000
29,Eric Brown,DEN,FS,16,16,78.0,1.0,3.0,2000
30,Dexter Coakley,DAL,RLB,16,16,78.0,0.0,0.0,2000
31,Billy Jenkins,DEN,SS,16,16,78.0,0.0,4.0,2000
32,Nate Wayne,GNB,RLB,16,13,78.0,2.0,0.0,2000
33,Stephen Boyd,DET,MLB,15,15,77.0,0.5,1.0,2000
34,Jessie Armstead,NYG,RLB,16,16,76.0,5.0,1.0,2000
35,Bernardo Harris,GNB,MLB,16,16,76.0,2.0,0.0,2000
36,Marty Carter,ATL,SS,16,16,75.0,2.0,0.0,2000
37,Robert Griffith,MIN,SS,16,16,75.0,1.0,1.0,2000
38,Sammy Knight,NOR,SS,16,16,75.0,2.0,5.0,2000
39,Shawn Springs,SEA,LCB,16,16,75.0,0.0,2.0,2000
40,George Koonce,SEA,MLB,16,16,74.0,1.5,1.0,2000
41,Marty Moore,CLE,RLB,16,9,74.0,1.0,1.0,2000
42,Shaun Williams,NYG,FS,16,16,74.0,0.0,3.0,2000
43,Jerome Woods,KAN,FS,16,16,74.0,2.0,2.0,2000
44,Marquis Smith,CLE,SS,16,16,73.0,1.0,0.0,2000
45,Ronde Barber,TAM,RCB,16,16,72.0,5.5,2.0,2000
46,Chad Brown,SEA,RLB,16,16,72.0,6.0,1.0,2000
47,Kevin Hardy,JAX,LLB/RLB,16,16,72.0,3.0,1.0,2000
48,Brock Marion,MIA,FS,16,16,72.0,0.0,5.0,2000
49,Darren Sharper,GNB,FS,16,16,72.0,1.0,9.0,2000
50,Derek Smith,WAS,MLB,16,14,72.0,1.0,0.0,2000
51,Greg Wesley,KAN,SS,16,16,72.0,1.0,2.0,2000
52,Micheal Barrow,NYG,MLB,15,15,71.0,3.5,1.0,2000
53,Tedy Bruschi,NWE,ROLB,16,16,71.0,1.0,0.0,2000
54,Lee Woodall,CAR,RLB,16,16,71.0,0.0,1.0,2000
55,Jay Bellamy,SEA,FS,16,16,70.0,2.0,4.0,2000
56,John Mobley,DEN,RLB,15,14,70.0,2.0,1.0,2000
57,Ray Buchanan,ATL,LCB,16,16,69.0,0.0,6.0,2000
58,Jeff Burris,IND,LCB,16,16,69.0,3.0,4.0,2000
59,John Holecek,BUF,LILB,16,16,69.0,0.0,1.0,2000
60,William Thomas,OAK,LLB,16,16,69.0,1.0,6.0,2000
61,Dewayne Washington,PIT,RCB,16,16,69.0,0.0,5.0,2000
62,Keith Lyle,STL,FS,16,16,68.0,0.0,1.0,2000
63,Ryan McNeil,DAL,RCB,16,16,68.0,0.0,2.0,2000
64,Chad Cota,IND,SS,16,16,67.0,0.0,2.0,2000
65,Kwamie Lassiter,ARI,FS,16,16,67.0,0.0,1.0,2000
66,Darren Woodson,DAL,SS,11,11,67.0,0.0,2.0,2000
67,Rod Woodson,BAL,FS,16,16,67.0,0.0,4.0,2000
68,LeRoy Butler,GNB,SS,16,16,66.0,2.0,2.0,2000
69,Doug Evans,CAR,RCB,16,16,66.0,0.0,2.0,2000
70,Dwight Hollier,IND,MLB,16,15,66.0,1.0,0.0,2000
71,Tony Parrish,CHI,SS,16,16,66.0,2.0,3.0,2000
72,Ahmed Plummer,SFO,LCB,16,14,66.0,0.0,0.0,2000
73,Dave Thomas,NYG,LCB,16,16,66.0,0.0,1.0,2000
74,Charles Woodson,OAK,LCB,16,16,66.0,0.0,4.0,2000
75,Brent Alexander,PIT,FS,16,16,65.0,1.5,3.0,2000
76,Chris Claiborne,DET,RLB,16,14,65.0,0.5,1.0,2000
77,Donovin Darius,JAX,SS,16,16,65.0,1.0,2.0,2000
78,Pat Dennis,KAN,LCB,16,13,65.0,0.0,1.0,2000
79,Sean Harris,CHI,LLB/RLB,15,13,65.0,1.0,0.0,2000
80,Levon Kirkland,PIT,LILB,16,16,65.0,0.0,1.0,2000
81,Mo Lewis,NYJ,LOLB,16,16,65.0,10.0,1.0,2000
82,Eugene Robinson,CAR,FS,16,16,65.0,0.0,1.0,2000
83,Brian Walker,MIA,SS,16,16,65.0,2.0,7.0,2000
84,Mike Dumas,SDG,FS,12,12,64.0,1.0,1.0,2000
85,Victor Green,NYJ,SS,16,16,64.0,0.0,6.0,2000
86,Kevin Mathis,NOR,LCB,16,16,64.0,0.0,1.0,2000
87,Jamir Miller,CLE,LLB,16,16,64.0,5.0,1.0,2000
88,Derrick Rodgers,MIA,LLB,16,14,64.0,0.5,0.0,2000
89,Chad Scott,PIT,LCB,16,16,64.0,0.0,5.0,2000
90,Troy Vincent,PHI,LCB,16,16,64.0,1.0,5.0,2000
91,Mark Fields,NOR,RLB,16,14,63.0,2.0,0.0,2000
92,Darren Hambrick,DAL,LLB,16,16,63.0,1.0,0.0,2000
93,Darren Perry,NOR,FS,16,16,63.0,0.0,3.0,2000
94,Jamie Sharper,BAL,RLB,16,16,63.0,0.0,1.0,2000
95,Eric Allen,OAK,RCB,16,15,62.0,1.0,6.0,2000
96,Warrick Holdman,CHI,RLB,10,10,62.0,0.0,0.0,2000
97,Mike Jones,STL,LLB,16,16,62.0,2.0,0.0,2000
98,Marcus Robertson,TEN,FS,15,15,62.0,0.0,0.0,2000
99,Bill Romanowski,DEN,LLB,16,16,62.0,3.5,2.0,2000
100,Darrin Smith,NOR,MLB,16,11,62.0,2.0,2.0,2000
101,Thomas Smith,CHI,RCB,16,16,62.0,0.0,0.0,2000
102,Courtney Brown,CLE,LDE,16,16,61.0,4.5,0.0,2000
103,Eric Davis,CAR,LCB,16,16,61.0,0.0,5.0,2000
104,Lee Flowers,PIT,SS,14,14,61.0,1.0,1.0,2000
105,Rob Fredrickson,ARI,RLB,13,12,61.0,1.0,1.0,2000
106,Marquez Pope,OAK,SS,15,14,61.0,1.0,2.0,2000
107,Lance Schulters,SFO,SS,12,12,61.0,0.5,0.0,2000
108,Otis Smith,NWE,RCB,16,14,61.0,0.0,1.0,2000
109,Jason Sehorn,NYG,RCB,14,14,60.0,0.0,2.0,2000
110,Robert Tate,MIN,RCB,16,16,60.0,0.0,2.0,2000
111,Mike Caldwell,PHI,LB,16,3,59.0,0.0,1.0,2000
112,Chad Eaton,NWE,NT,14,13,59.0,2.5,0.0,2000
113,Keith Mitchell,NOR,LLB,16,14,59.0,6.5,1.0,2000
114,Damon Moore,PHI,SS,16,16,59.0,0.0,2.0,2000
115,Shawn Barber,WAS,LLB,14,14,58.0,2.0,0.0,2000
116,Ronnie Bradford,ATL,FS,16,15,58.0,0.0,3.0,2000
117,Jason Gildon,PIT,LOLB,16,16,58.0,13.5,0.0,2000
118,James Hasty,KAN,RCB,16,16,58.0,1.0,4.0,2000
119,Ty Law,NWE,LCB,15,15,58.0,0.0,2.0,2000
120,Blaine Bishop,TEN,SS,16,16,57.0,2.5,0.0,2000
121,Daylon McCutcheon,CLE,RCB,15,15,57.0,4.0,1.0,2000
122,Orlando Ruff,SDG,MLB,16,14,57.0,0.0,1.0,2000
123,Dean Wells,CAR,LLB,16,14,57.0,0.0,1.0,2000
124,Champ Bailey,WAS,LCB,16,16,56.0,0.0,5.0,2000
125,Marcus Coleman,NYJ,RCB,16,16,56.0,0.0,4.0,2000
126,Percy Ellsworth,CLE,FS,16,16,56.0,0.0,1.0,2000
127,John Lynch,TAM,SS,16,16,56.0,1.0,3.0,2000
128,Zach Thomas,MIA,MLB,11,11,56.0,1.5,1.0,2000
129,Winfred Tubbs,SFO,RLB,14,14,56.0,2.0,1.0,2000
130,Devin Bush Sr.,STL,SS,13,12,55.0,1.0,0.0,2000
131,Mark Carrier,WAS,FS,15,15,55.0,0.0,1.0,2000
132,Bryan Cox,NYJ,LILB,15,14,55.0,6.0,0.0,2000
133,Brian Dawkins,PHI,FS,13,13,55.0,2.0,4.0,2000
134,Anthony Dorsett,OAK,FS,16,16,55.0,1.0,0.0,2000
135,Carlos Emmons,PHI,RLB,16,13,55.0,0.5,2.0,2000
136,Barron Wortham,DAL,MLB,16,11,55.0,0.0,2.0,2000
137,Tony Brackens,JAX,RDE,16,16,54.0,7.5,1.0,2000
138,Chris Carter,CIN,SS,16,10,54.0,1.0,1.0,2000
139,Mike Logan,JAX,FS,15,11,54.0,1.0,2.0,2000
140,Gerald Dixon,SDG,LLB,16,16,53.0,5.0,1.0,2000
141,La'Roi Glover,NOR,RDT,16,16,53.0,17.0,,2000
142,John Parrella,SDG,RDT,16,16,53.0,7.0,0.0,2000
143,Chris Slade,NWE,LILB,16,15,53.0,4.0,,2000
144,Sam Garnes,NYG,SS,15,15,52.0,1.0,1.0,2000
145,Artrell Hawkins,CIN,RCB,16,6,52.0,0.0,0.0,2000
146,Kim Herring,BAL,SS,16,16,52.0,1.0,3.0,2000
147,Kerry Joseph,SEA,SS,16,10,52.0,0.0,0.0,2000
148,Todd Lyght,STL,LCB,14,12,52.0,1.0,2.0,2000
149,Dwayne Rudd,MIN,LLB,14,13,52.0,0.0,0.0,2000
150,Mao Tosi,ARI,RDT,15,10,52.0,0.0,,2000
151,James Farrior,NYJ,ROLB,16,6,51.0,1.0,1.0,2000
152,Grady Jackson,OAK,LDT,16,15,51.0,8.0,0.0,2000
153,Ted Johnson,NWE,RILB,13,11,51.0,0.5,0.0,2000
154,Tebucky Jones,NWE,FS,15,9,51.0,0.0,2.0,2000
155,Damien Robinson,TAM,FS,16,16,51.0,0.0,6.0,2000
156,Phillippi Sparks,DAL,LCB,16,12,51.0,0.0,5.0,2000
157,Michael Strahan,NYG,LDE,16,16,51.0,9.5,0.0,2000
158,Tyrone Williams,GNB,RCB,16,16,51.0,0.0,4.0,2000
159,Willie Williams,SEA,RCB,16,15,51.0,1.0,4.0,2000
160,Elijah Alexander,OAK,RLB,16,16,50.0,2.0,0.0,2000
161,Michael Bankston,CIN,RDE/LDE,16,14,50.0,0.0,0.0,2000
162,Tony Blevins,IND,DB,16,1,50.0,0.0,0.0,2000
163,Shaun Ellis,NYJ,DE,16,3,50.0,8.5,1.0,2000
164,DeRon Jenkins,SDG,RCB,15,14,50.0,0.0,1.0,2000
165,Keith McKenzie,CLE,RDE,16,16,50.0,8.0,0.0,2000
166,Grant Wistrom,STL,RDE,16,16,50.0,11.0,0.0,2000
167,Dre' Bly,STL,DB,16,3,49.0,1.0,3.0,2000
168,Jamie Duncan,TAM,MLB,15,15,49.0,0.0,4.0,2000
169,Corey Harris,BAL,DB,16,0,49.0,0.0,2.0,2000
170,Dexter McCleon,STL,RCB,16,16,49.0,2.0,8.0,2000
171,Eddie Robinson,TEN,RLB,16,16,49.0,4.0,0.0,2000
172,Armegis Spearman,CIN,MLB,15,11,49.0,1.0,0.0,2000
173,Allen Aldridge,DET,LLB,16,14,48.0,2.0,1.0,2000
174,Tom Knight,ARI,RCB,16,15,48.0,1.0,0.0,2000
175,Bruce Smith,WAS,RDE,16,16,48.0,10.0,0.0,2000
176,Fred Weary,NOR,RCB,12,12,48.0,2.0,2.0,2000
177,Aeneas Williams,ARI,LCB,16,16,48.0,0.0,5.0,2000
178,Al Wilson,DEN,MLB,15,14,48.0,5.0,3.0,2000
179,Duane Clemons,KAN,RDE,12,12,47.0,7.5,0.0,2000
180,Terry Fair,DET,RCB,15,15,47.0,0.0,2.0,2000
181,Mike Maslowski,KAN,LLB,16,5,47.0,2.0,0.0,2000
182,Ken Norton Jr.,SFO,MLB,16,16,47.0,0.0,0.0,2000
183,Donnie Abraham,TAM,LCB,16,16,46.0,0.0,7.0,2000
184,Aaron Beasley,JAX,RCB,14,14,46.0,5.0,1.0,2000
185,Chad Bratzke,IND,RDE,16,16,46.0,7.5,0.0,2000
186,Brian Kelly,TAM,DB,16,3,46.0,0.0,1.0,2000
187,Izell Reese,DAL,FS,16,7,46.0,0.0,2.0,2000
188,Hollis Thomas,PHI,RDT,16,16,46.0,4.0,,2000
189,Jamal Williams,SDG,LDT,16,16,46.0,1.0,0.0,2000
190,LaVar Arrington,WAS,RLB,16,11,45.0,4.0,0.0,2000
191,Brentson Buckner,SFO,RDT,16,16,45.0,7.0,0.0,2000
192,Cris Dishman,MIN,LCB,11,9,45.0,0.0,1.0,2000
193,Barry Gardner,PHI,LLB,16,13,45.0,1.0,0.0,2000
194,Rodney Heath,CIN,RCB,13,9,45.0,0.0,0.0,2000
195,Henry Jones,BUF,SS,16,16,45.0,0.0,2.0,2000
196,Willie McGinest,NWE,LDE,14,14,45.0,6.0,0.0,2000
197,Keith Newman,BUF,LOLB,16,16,45.0,8.0,0.0,2000
198,Duane Starks,BAL,LCB,15,15,45.0,0.0,6.0,2000
199,Jason Webster,SFO,RCB,16,10,45.0,0.0,2.0,2000
200,Hugh Douglas,PHI,RDE,16,15,44.0,15.0,1.0,2000
201,Jay Foreman,BUF,LB,15,3,44.0,0.0,,2000
202,Travis Hall,ATL,LDT,16,16,44.0,4.5,,2000
203,Norman Hand,NOR,LDT,15,15,44.0,3.0,0.0,2000
204,Pierson Prioleau,SFO,FS,14,6,44.0,0.0,1.0,2000
205,Patrick Surtain,MIA,LCB,16,16,44.0,1.0,5.0,2000
206,Denard Walker,TEN,LCB,15,14,44.0,0.0,2.0,2000
207,Ray Crockett,DEN,LCB,13,11,43.0,1.0,4.0,2000
208,Oliver Gibson,CIN,LDT,16,16,43.0,4.0,0.0,2000
209,Chris Hovan,MIN,LDT,16,13,43.0,2.0,0.0,2000
210,Tod McBride,GNB,LCB,15,6,43.0,0.0,2.0,2000
211,Emmanuel McDaniel,NYG,DB,16,3,43.0,1.0,6.0,2000
212,Warren Sapp,TAM,RDT,16,15,43.0,16.5,0.0,2000
213,T.J. Slaughter,JAX,MLB,16,7,43.0,0.0,0.0,2000
214,Reggie Tongue,SEA,SS,16,6,43.0,0.0,0.0,2000
215,Corey Chavous,ARI,DB,16,1,42.0,0.0,1.0,2000
216,Chris Draft,ATL,LLB,13,8,42.0,1.0,,2000
217,Keith Hamilton,NYG,RDT,16,16,42.0,10.0,0.0,2000
218,Lamar King,SEA,RDE,14,14,42.0,6.0,0.0,2000
219,Dat Nguyen,DAL,MLB,10,5,42.0,0.0,2.0,2000
220,Ryan Phillips,NYG,LLB,16,15,42.0,1.5,2.0,2000
221,Joey Porter,PIT,ROLB,16,16,42.0,10.5,1.0,2000
222,Ron Rice,DET,SS,14,14,42.0,0.0,1.0,2000
223,Bryan Robinson,CHI,LDE,16,16,42.0,4.5,0.0,2000
224,Orpheus Roye,CLE,LDT,16,16,42.0,2.0,0.0,2000
225,Marco Coleman,WAS,LDE,16,16,41.0,12.0,0.0,2000
226,Bobby Hamilton,NWE,RDE,16,16,41.0,1.5,0.0,2000
227,Rick Lyle,NYJ,LDE,14,14,41.0,1.0,,2000
228,Antoine Winfield,BUF,LCB,11,11,41.0,0.0,1.0,2000
229,Cedric Jones,NYG,RDE,16,16,40.0,3.5,0.0,2000
230,Mark Simoneau,ATL,LB,14,4,40.0,0.5,0.0,2000
231,Jimmy Spencer,DEN,LCB,16,6,40.0,1.0,3.0,2000
232,Gary Walker,JAX,LDT,15,14,40.0,5.0,0.0,2000
233,Marcellus Wiley,BUF,RDE,16,15,40.0,10.5,0.0,2000
234,Rob Burnett,BAL,LDE,16,16,39.0,10.5,1.0,2000
235,Greg Ellis,DAL,LDE,16,16,39.0,3.0,0.0,2000
236,Bobby Taylor,PHI,RCB,16,15,39.0,0.0,3.0,2000
237,George Teague,DAL,FS,9,9,39.0,0.0,0.0,2000
238,Rogers Beckett,SDG,DB,16,3,38.0,1.0,1.0,2000
239,John Browning,KAN,RDT/LDE,16,16,38.0,6.0,1.0,2000
240,Sean Gilbert,CAR,RDT,15,15,38.0,4.0,1.0,2000
241,Joe Johnson,NOR,RDE,16,15,38.0,12.0,,2000
242,Gerald McBurrows,ATL,DB,16,4,38.0,2.0,0.0,2000
243,Tyrone Poole,IND,RCB,15,12,38.0,0.0,1.0,2000
244,Deion Sanders,WAS,RCB,16,15,38.0,0.0,4.0,2000
245,Kurt Schulz,DET,FS,11,11,38.0,0.0,7.0,2000
246,Corey Simon,PHI,LDT,16,16,38.0,9.5,0.0,2000
247,Lorenzo Styles,STL,RLB,16,5,38.0,1.0,0.0,2000
248,Ashley Ambrose,ATL,RCB,16,16,37.0,0.0,4.0,2000
249,Fernando Bryant,JAX,LCB,14,14,37.0,0.0,1.0,2000
250,Phillip Daniels,CHI,RDE,14,14,37.0,6.0,0.0,2000
251,Jason Ferguson,NYJ,NT,15,11,37.0,1.0,,2000
252,Corey Fuller,CLE,LCB,15,15,37.0,0.0,3.0,2000
253,Eric Hicks,KAN,LDE,13,11,37.0,14.0,0.0,2000
254,Darren Howard,NOR,LDE,16,16,37.0,11.0,1.0,2000
255,Jevon Kearse,TEN,LDE,16,16,37.0,11.5,0.0,2000
256,Mark Smith,ARI,RDT,14,7,37.0,3.0,,2000
257,Ted Washington,BUF,NT,16,16,37.0,2.5,0.0,2000
258,Pat Williams,BUF,DT,16,4,37.0,2.5,,2000
259,Kenny Wright,MIN,LCB,16,7,37.0,0.0,0.0,2000
260,Bryant Young,SFO,LDT,15,15,37.0,9.5,0.0,2000
261,Cornelius Bennett,IND,LLB,16,15,36.0,3.0,0.0,2000
262,Tom Carter,CIN,LCB,16,11,36.0,0.0,2.0,2000
263,Cory Hall,CIN,SS,16,6,36.0,4.0,1.0,2000
264,Robert Jones,MIA,RLB,16,16,36.0,0.0,,2000
265,Brandon Noble,DAL,LDT,16,9,36.0,1.0,0.0,2000
266,Shelton Quarles,TAM,LLB,14,13,36.0,2.0,1.0,2000
267,Adrian Ross,CIN,LB,13,4,36.0,1.0,0.0,2000
268,Matt Stevens,2TM,DB,16,4,36.0,0.0,1.0,2000
269,Raynoch Thompson,ARI,LLB,11,9,36.0,0.0,,2000
270,Bryant Westbrook,DET,LCB,13,13,36.0,0.0,6.0,2000
271,Jeff Zgonina,STL,RDT,16,11,36.0,2.0,,2000
272,Matt Bowen,STL,DB,16,2,35.0,0.0,0.0,2000
273,Terrell Buckley,DEN,RCB,16,16,35.0,0.0,6.0,2000
274,Henri Crockett,ATL,RLB,15,12,35.0,2.0,0.0,2000
275,Daryl Gardener,MIA,RDT,10,10,35.0,2.5,0.0,2000
276,Johnnie Harris,OAK,DB,15,2,35.0,0.0,0.0,2000
277,Antonio Langham,NWE,RCB,15,7,35.0,0.0,1.0,2000
278,Ernie Logan,NYJ,DT,16,4,35.0,0.0,,2000
279,Chris McAlister,BAL,RCB,16,16,35.0,0.0,4.0,2000
280,Michael McCrary,BAL,RDE,16,16,35.0,6.5,0.0,2000
281,Samari Rolle,TEN,RCB,15,15,35.0,1.5,7.0,2000
282,Michael Sinclair,SEA,LDE,16,16,35.0,3.5,0.0,2000
283,Jason Taylor,MIA,RDE,16,16,35.0,14.5,1.0,2000
284,Jerry Wilson,MIA,DB,16,1,35.0,0.5,1.0,2000
285,Steve Foley,CIN,LLB,16,16,34.0,4.0,1.0,2000
286,Dexter Jackson,TAM,DB,13,0,34.0,0.0,,2000
287,James Jones,DET,LDT,16,16,34.0,3.0,,2000
288,Chester McGlockton,KAN,LDT,15,15,34.0,4.5,0.0,2000
289,Darren Mickell,SDG,RDE,16,16,34.0,6.0,0.0,2000
290,Peter Boulware,BAL,LLB,16,15,33.0,7.0,0.0,2000
291,Kevin Carter,STL,LDE,16,13,33.0,10.5,,2000
292,Jim Flanigan,CHI,LDT,16,14,33.0,4.0,,2000
293,Scott Frost,NYJ,DB,16,1,33.0,1.0,1.0,2000
294,Walt Harris,CHI,LCB,12,12,33.0,0.0,2.0,2000
295,Chris Hayes,NYJ,FS,16,8,33.0,0.0,1.0,2000
296,Scott Kowalkowski,DET,LB,16,2,33.0,0.0,0.0,2000
297,Brad Ottis,ARI,LDE,15,11,33.0,1.0,0.0,2000
298,Roman Phifer,NYJ,ROLB,16,10,33.0,4.0,0.0,2000
299,Trevor Pryce,DEN,RDT,16,16,33.0,12.0,0.0,2000
300,Simeon Rice,ARI,RDE,15,11,33.0,7.5,0.0,2000
301,Mike Rucker,CAR,DE,16,1,33.0,2.5,0.0,2000
302,Zack Bronson,SFO,FS,9,7,32.0,0.0,3.0,2000
303,Tyrone Carter,MIN,FS,15,7,32.0,0.0,,2000
304,John Copeland,CIN,RDT/RDE,16,16,32.0,1.0,0.0,2000
305,Kenny Holmes,TEN,RDE,14,13,32.0,8.0,0.0,2000
306,Cortez Kennedy,SEA,RDT,16,16,32.0,1.0,1.0,2000
307,Riddick Parker,SEA,LDT,16,16,32.0,0.0,,2000
308,Julian Peterson,SFO,LLB,13,7,32.0,4.0,2.0,2000
309,Aaron Smith,PIT,LDE,16,15,32.0,4.0,0.0,2000
310,Dana Stubblefield,WAS,RDT,15,14,32.0,2.5,0.0,2000
311,John Thierry,GNB,RDE,16,16,32.0,6.5,0.0,2000
312,Keith Traylor,DEN,LDT,16,16,32.0,1.0,0.0,2000
313,Marquis Walker,DET,DB,12,2,32.0,0.0,1.0,2000
314,Mike Wells,CHI,RDT,16,14,32.0,1.0,1.0,2000
315,Shane Burton,NYJ,RDE,16,16,31.0,1.0,0.0,2000
316,Antonio Cochran,SEA,DE,15,0,31.0,0.5,0.0,2000
317,Russell Davis,ARI,LDT,13,9,31.0,0.5,0.0,2000
318,Dwayne Gordon,NYJ,LB,15,1,31.0,0.0,0.0,2000
319,Patrick Kerney,ATL,LDE,16,16,31.0,2.5,1.0,2000
320,Eddie Mason,WAS,LB,16,2,31.0,2.0,,2000
321,Anthony McFarland,TAM,LDT,16,16,31.0,6.5,,2000
322,Kiwaukee Thomas,JAX,DB,16,3,31.0,0.0,0.0,2000
323,Bernard Whittington,IND,LDT,15,12,31.0,1.0,,2000
324,Chuck Wiley,ATL,DE,16,0,31.0,4.0,0.0,2000
325,Renaldo Wynn,JAX,LDE,14,14,31.0,3.5,,2000
326,Keion Carpenter,BUF,FS,12,12,30.0,0.0,5.0,2000
327,Greg Favors,TEN,LLB,16,15,30.0,5.5,0.0,2000
328,Jason Fisk,TEN,RDT,15,15,30.0,2.0,0.0,2000
329,Paul Grasmanis,PHI,DT,16,0,30.0,3.5,,2000
330,Ken Irvin,BUF,RCB,16,16,30.0,0.0,2.0,2000
331,Tory James,OAK,DB,16,1,30.0,0.0,2.0,2000
332,Ed Jasper,ATL,RDT,15,15,30.0,3.5,,2000
333,Earl Little,CLE,DB,16,0,30.0,0.0,1.0,2000
334,Mike McKenzie,GNB,LCB,10,8,30.0,0.0,1.0,2000
335,Pete Monty,NYG,LB,16,1,30.0,2.0,,2000
336,Robert Porcher,DET,LDE,16,16,30.0,8.0,0.0,2000
337,Orlando Thomas,MIN,FS,9,9,30.0,1.0,1.0,2000
338,Larry Whigham,NWE,DB,14,4,30.0,0.0,0.0,2000
339,Fakhir Brown,SDG,LCB,9,8,29.0,0.0,1.0,2000
340,Lewis Bush,KAN,LLB,16,8,29.0,1.0,1.0,2000
341,Rosevelt Colvin,CHI,LLB,13,8,29.0,3.0,0.0,2000
342,Jason Craft,JAX,DB,16,3,29.0,0.0,0.0,2000
343,John Engelberger,SFO,RDE,16,13,29.0,3.0,0.0,2000
344,Kevin Henry,PIT,RDE,15,15,29.0,0.0,0.0,2000
345,Jimmy Hitchcock,CAR,DB,16,2,29.0,0.0,3.0,2000
346,Ellis Johnson,IND,RDT,13,13,29.0,5.0,1.0,2000
347,Marcus Jones,TAM,RDE,16,16,29.0,13.0,,2000
348,Sam Madison,MIA,RCB,16,16,29.0,0.0,5.0,2000
349,Jeff Posey,SFO,LLB,16,9,29.0,0.5,0.0,2000
350,Johnny Rutledge,ARI,LB,11,3,29.0,0.0,,2000
351,Brady Smith,ATL,RDE,15,14,29.0,4.5,0.0,2000
352,Kimo von Oelhoffen,PIT,NT,16,16,29.0,1.0,0.0,2000
353,Dan Williams,KAN,RDT,12,10,29.0,7.5,,2000
354,Chidi Ahanotu,TAM,LDE,16,16,28.0,3.5,0.0,2000
355,William Bartee,KAN,DB,16,3,28.0,1.0,0.0,2000
356,Tim Bowens,MIA,LDT,15,15,28.0,2.5,1.0,2000
357,Keith Brooking,ATL,LLB,5,5,28.0,1.0,0.0,2000
358,Lamar Campbell,DET,DB,16,2,28.0,0.0,1.0,2000
359,Aaron Glenn,NYJ,LCB,16,16,28.0,0.0,4.0,2000
360,Darius Holland,CLE,DT,16,1,28.0,1.0,1.0,2000
361,Bernard Holsey,IND,LDE,16,13,28.0,2.0,0.0,2000
362,Darryll Lewis,SDG,LCB,15,7,28.0,1.0,1.0,2000
363,Michael Myers,DAL,RDT,13,7,28.0,0.0,0.0,2000
364,Sam Rogers,BUF,ROLB,11,11,28.0,5.0,1.0,2000
365,Tracy Scroggins,DET,RDE,16,15,28.0,6.5,0.0,2000
366,Kato Serwanga,NWE,DB,15,0,28.0,2.0,0.0,2000
367,Rayna Stewart,JAX,FS,12,10,28.0,0.0,2.0,2000
368,Deshea Townsend,PIT,DB,16,0,28.0,3.5,0.0,2000
369,Elijah Williams,ATL,DB,15,3,28.0,0.0,1.0,2000
370,Kenyatta Wright,BUF,LB,16,1,28.0,0.0,,2000
371,Keith Bulluck,TEN,LB,16,1,27.0,0.0,1.0,2000
372,Cornelius Griffin,NYG,DT,15,0,27.0,5.0,0.0,2000
373,Hardy Nickerson,JAX,MLB,6,6,27.0,1.0,1.0,2000
374,Chike Okeafor,SFO,DE,15,0,27.0,2.0,,2000
375,Perry Phenix,TEN,DB,16,0,27.0,0.0,1.0,2000
376,Talance Sawyer,MIN,RDE,16,16,27.0,6.0,0.0,2000
377,James Trapp,BAL,DB,16,1,27.0,2.0,0.0,2000
378,Tony Williams,MIN,RDT,14,12,27.0,4.0,,2000
379,Chris Canty,2TM,DB,15,1,26.0,0.0,0.0,2000
