,Player,Tm,Pos,G,GS,Rec,RecYds,RecTD,Year
11312,Joshua Kelley,LAC,RB,17,3,8,32,0,2023
11393,Jordan Mason,SFO,RB,17,0,3,31,0,2023
11405,Kenyan Drake,2TM,RB,3,0,2,31,0,2023
11334,DeeJay Dallas,SEA,RB,17,0,6,26,0,2023
11372,Keaontay Ingram,ARI,RB,8,1,4,26,0,2023
11380,Emanuel Wilson,GNB,RB,7,0,4,23,0,2023
11338,Eric Gray,NYG,RB,13,0,6,22,0,2023
11356,Ronnie Rivers,LAR,RB,9,1,5,22,0,2023
11367,Nick Chubb,CLE,RB,2,2,4,21,0,2023
11392,Hunter Luepke,DAL,RB,17,0,3,18,0,2023
11413,Dare Ogunbowale,HOU,RB,12,0,2,18,0,2023
11406,Damien Harris,BUF,RB,6,0,2,16,0,2023
11403,J.K. Dobbins,BAL,RB,1,1,2,15,0,2023
11340,Elijah Mitchell,SFO,RB,11,1,6,14,0,2023
11349,Deon Jackson,3TM,RB,4,1,5,14,0,2023
11381,Alex Armah,WAS,RB,8,0,3,13,0,2023
11398,Trey Sermon,IND,RB,14,0,3,13,0,2023
11404,Elijah Dotson,LAC,RB,4,0,2,13,0,2023
11436,Royce Freeman,LAR,RB,14,0,1,13,0,2023
11388,Jashaun Corbin,NYG,RB,6,0,3,12,0,2023
11416,Chris Rodriguez,WAS,RB,13,0,2,12,0,2023
11422,Damien Williams,ARI,RB,3,0,2,12,0,2023
11437,Jake Funk,IND,RB,4,0,1,12,0,2023
11410,Anthony McFarland Jr.,PIT,RB,3,0,2,11,0,2023
11330,Trayveon Williams,CIN,RB,17,0,7,10,0,2023
11419,Sean Tucker,TAM,RB,11,0,2,9,0,2023
11448,Zonovan Knight,DET,RB,2,0,1,8,0,2023
11452,Devine Ozigbo,DET,RB,3,0,1,8,0,2023
11424,Tank Bigsby,JAX,RB,17,0,1,6,0,2023
11443,Evan Hull,IND,RB,1,0,1,6,0,2023
11453,Rashaad Penny,PHI,RB,3,0,1,5,0,2023
11420,Ke'Shawn Vaughn,TAM,RB,6,0,2,2,0,2023
11475,Jamycal Hasty,2TM,RB,5,0,0,0,0,2023
11476,Travis Homer,CHI,RB,16,0,0,0,0,2023
11479,Jordan Mims,NOR,RB,2,0,0,0,0,2023
11485,Jonathan Williams,WAS,RB,1,0,0,0,0,2023
11431,Chris Evans,CIN,RB,8,0,1,-1,0,2023
11457,James Robinson,GNB,RB,1,0,1,-2,0,2023
